date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-11-27,20.72,21.36,19.72,19.66,143460.56,-2.1,-9.62,20.514,17.96,21.095,129906.74,102930.07,147694.75
2015-11-26,23.2,24.35,21.82,21.51,295479.5,-0.49,-2.2,19.922,17.811,21.35,101297.36,98248.35,152673.14
2015-11-25,21.8,22.31,22.31,21.41,139026.2,2.03,10.01,18.606,17.654,21.433,42412.12,81352.18,144707.96
2015-11-24,20.28,20.28,20.28,20.28,70601.18,1.84,9.98,16.914,17.673,21.44,58782.79,88800.4,143391.66
2015-11-23,18.44,18.44,18.44,18.44,966.28,1.68,10.02,15.812,18.067,21.546,47474.75,107056.72,146780.25
2015-11-20,16.76,16.76,16.76,16.76,413.65,1.52,9.97,15.406,18.672,21.819,75953.39,111352.1,154203.08
2015-11-19,15.24,15.24,15.24,15.24,1053.31,1.39,10.04,15.7,19.717,22.181,95199.34,127331.82,162628.22
2015-07-08,13.29,14.24,13.85,13.29,220879.52,-0.92,-6.23,16.702,21.216,22.665,120292.23,159979.9,171876.96
2015-07-07,14.77,14.77,14.77,14.77,14061.0,-1.64,-9.99,18.432,22.579,23.267,118818.01,171130.95,173400.75
2015-07-06,19.88,19.9,16.41,16.41,143359.48,-1.82,-9.98,20.322,23.6,23.728,166638.7,194534.32,184775.8
2015-07-03,18.23,19.5,18.23,18.23,96643.38,-2.02,-9.97,21.938,24.23,24.057,146750.8,192459.43,192721.2
2015-07-02,22.02,22.6,20.25,20.25,126517.76,-2.25,-10.0,23.734,24.889,24.216,159464.3,207097.92,205307.0
2015-07-01,23.5,25.0,22.5,21.9,213508.41,-1.72,-7.1,25.73,25.212,24.394,199667.58,208063.75,222325.21
2015-06-30,22.04,26.0,24.22,22.04,253164.45,-0.27,-1.1,26.726,25.207,24.518,223443.89,197982.92,212740.45
2015-06-29,26.3,26.3,24.49,24.49,43920.0,-2.72,-10.0,26.878,25.024,24.443,222429.95,186503.77,203015.03
2015-06-26,28.99,29.59,27.21,27.21,160210.88,-3.02,-9.99,26.522,24.965,24.251,238168.06,197054.06,207613.3
2015-06-25,27.9,30.23,30.23,26.91,327534.16,2.75,10.01,26.044,24.644,23.829,254731.55,197924.63,210527.02
2015-06-24,26.0,27.48,27.48,24.98,332389.97,2.5,10.01,24.694,24.114,23.171,216459.92,183774.02,207525.2
2015-06-23,23.84,24.98,24.98,23.7,248094.73,2.27,10.0,23.688,23.954,22.572,172521.96,175670.55,193280.73
2015-06-19,24.1,24.18,22.71,22.34,122610.54,-2.11,-8.5,23.17,23.855,22.028,150577.6,175017.29,184819.71
2015-06-18,23.35,25.83,24.82,22.95,243028.33,1.34,5.71,23.408,23.883,21.596,155940.05,192982.97,183151.27
2015-06-17,22.7,23.87,23.48,22.01,136176.05,1.03,4.59,23.244,23.543,21.077,141117.7,203516.08,176896.43
2015-06-16,21.5,22.96,22.45,21.1,112700.13,0.06,0.27,23.534,23.575,20.605,151088.12,236586.67,174516.31
2015-06-08,23.63,23.7,22.39,22.11,138372.95,-1.51,-6.32,24.22,23.829,20.195,178819.15,227497.98,174154.35
2015-06-05,24.01,24.57,23.9,23.1,149422.81,-0.1,-0.42,24.54,23.862,19.79,199456.97,219526.28,175782.31
2015-06-04,25.88,25.88,24.0,22.44,168916.58,-0.93,-3.73,24.358,23.537,19.291,230025.88,218172.54,175451.44
2015-06-03,25.88,25.98,24.93,24.03,186028.12,-0.95,-3.67,23.842,23.014,18.74,265914.45,223129.41,171349.22
