date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-11-27,23.33,23.73,21.79,21.71,96848.4,-1.74,-7.39,23.51,23.902,24.151,111884.54,106687.23,134232.94
2015-11-26,23.43,23.99,23.53,23.08,103817.8,0.13,0.56,24.042,24.18,24.148,114460.27,109964.74,135318.11
2015-11-25,23.68,23.85,23.4,23.0,153458.55,-0.64,-2.66,24.192,24.452,24.044,109159.14,119907.9,135279.69
2015-11-24,24.6,24.6,24.04,23.58,84149.0,-0.75,-3.02,24.25,24.68,23.965,100116.88,118088.61,135665.27
2015-11-23,24.45,25.5,24.79,24.02,121148.93,0.34,1.39,24.284,24.821,23.947,107029.24,130365.98,142714.02
2015-11-20,24.2,24.7,24.45,23.7,109727.05,0.17,0.7,24.294,24.97,23.798,101489.92,139451.5,149129.5
2015-11-19,23.82,24.5,24.28,23.5,77312.19,0.59,2.49,24.318,24.914,23.696,105469.21,141400.39,157724.05
2015-11-18,24.25,24.65,23.69,23.5,108247.23,-0.52,-2.15,24.712,24.86,23.5,130656.66,151156.06,166380.39
2015-11-17,24.85,25.59,24.21,24.07,118710.82,-0.63,-2.54,25.11,24.857,23.285,136060.33,159004.07,178732.42
2015-11-16,24.1,25.29,24.84,23.82,93452.3,0.27,1.1,25.358,24.698,22.957,153702.72,161652.34,177172.38
2015-11-13,25.87,25.87,24.57,24.5,129623.52,-1.68,-6.4,25.646,24.399,22.573,177413.08,161778.65,178479.57
2015-11-12,25.72,26.6,26.25,24.26,203249.44,0.57,2.22,25.51,24.115,22.235,177331.56,160671.49,176480.62
2015-11-11,25.51,26.39,25.68,25.03,135265.59,0.23,0.9,25.008,23.635,21.824,171655.45,150651.48,172659.62
2015-11-10,26.27,26.88,25.45,25.01,206922.73,-0.83,-3.16,24.604,23.249,21.418,181947.81,153241.94,171850.2
2015-11-09,23.62,26.28,26.28,23.62,212004.12,2.39,10.0,24.038,23.073,21.045,169601.97,155062.06,168164.79
2015-11-06,23.3,24.7,23.89,23.3,129215.92,0.15,0.63,23.152,22.625,20.584,146144.22,158807.49,164605.44
2015-11-05,23.5,25.83,23.74,23.2,174868.91,0.08,0.34,22.72,22.477,20.196,144011.41,174047.71,161093.19
2015-11-04,22.76,24.04,23.66,22.38,186727.38,1.04,4.6,22.262,22.14,19.82,129647.5,181604.73,159065.93
2015-11-03,22.12,22.68,22.62,21.68,145193.52,0.77,3.52,21.894,21.713,19.419,124536.06,198460.77,149886.48
2015-11-02,21.0,22.59,21.85,20.2,94715.39,0.12,0.55,22.108,21.215,19.07,140522.15,192692.42,146765.97
2015-10-30,21.67,22.94,21.73,21.31,118551.87,0.28,1.3,22.098,20.747,18.727,171470.76,195180.5,144704.55
2015-10-29,21.95,22.3,21.45,21.05,103049.33,-0.37,-1.7,22.234,20.354,18.391,204084.0,192289.76,141868.96
2015-10-28,23.0,23.4,21.82,21.8,161170.2,-1.87,-7.89,22.018,20.013,18.068,233561.95,194667.77,140957.13
2015-10-27,22.21,23.89,23.69,21.48,225123.94,1.89,8.67,21.532,19.586,17.758,272385.48,190458.46,137634.14
2015-10-26,22.0,22.83,21.8,20.5,249458.48,-0.61,-2.72,20.322,19.017,17.371,244862.7,181267.53,131156.4
2015-10-23,20.6,22.41,22.41,20.22,281618.06,2.04,10.02,19.396,18.542,17.091,218890.23,170403.39,124292.49
2015-10-22,19.07,20.6,20.37,18.9,250439.09,0.98,5.05,18.474,17.914,16.783,180495.52,148138.68,117916.94
2015-10-21,17.72,19.4,19.39,17.57,355287.84,1.75,9.92,18.008,17.5,16.529,155773.59,136527.14,109604.74
2015-10-20,16.95,17.88,17.64,16.95,87510.02,0.47,2.74,17.64,17.125,16.309,108531.43,101312.19,98147.99
2015-10-19,17.81,17.86,17.17,17.0,119596.13,-0.63,-3.54,17.712,16.925,16.214,117672.36,100839.52,105520.27
2015-10-16,18.05,18.21,17.8,17.46,89644.54,-0.24,-1.33,17.688,16.707,16.093,121916.56,94228.6,105000.67
2015-10-15,17.55,18.05,18.04,17.3,126829.44,0.49,2.79,17.354,16.427,15.915,115781.83,91448.15,108649.19
2015-10-14,17.81,18.0,17.55,17.25,119077.03,-0.45,-2.5,16.992,16.123,15.724,117280.68,87246.48,110626.53
2015-10-13,17.22,18.18,18.0,17.22,133214.67,0.95,5.57,16.61,15.93,15.558,94092.96,84809.83,113284.57
2015-10-12,16.13,17.74,17.05,16.09,140817.12,0.92,5.7,16.138,15.725,15.364,84006.67,81045.26,112124.01
2015-10-09,15.99,16.3,16.13,15.81,58970.89,-0.1,-0.62,15.726,15.639,15.269,66540.64,78181.58,115791.01
2015-10-08,16.33,16.42,16.23,15.78,134323.7,0.59,3.77,15.5,15.651,15.155,67114.47,87695.21,127486.44
2015-10-07,15.72,15.85,15.64,15.6,3138.4,0.0,0.0,15.254,15.558,15.025,57212.28,82682.34,140795.71
2015-09-30,14.97,15.9,15.64,14.97,82783.25,0.65,4.34,15.25,15.493,15.0,75526.69,94983.79,142993.94
2015-09-29,14.65,15.06,14.99,14.45,53486.94,-0.01,-0.07,15.312,15.502,15.059,78083.86,110201.02,141735.33
2015-09-28,14.92,15.05,15.0,14.37,61840.06,0.0,0.0,15.552,15.478,15.244,89822.53,115772.75,142843.18
2015-09-25,15.4,15.7,15.0,14.06,84812.76,-0.62,-3.97,15.802,15.403,15.5,108275.96,125850.24,144337.21
2015-09-24,16.0,16.09,15.62,15.36,94710.46,-0.33,-2.07,15.862,15.325,15.795,108152.4,134006.58,148729.59
2015-09-23,15.7,15.97,15.95,15.22,95569.06,-0.24,-1.48,15.736,15.185,16.042,114440.89,141759.32,151213.04
2015-09-22,16.1,16.5,16.19,15.69,112180.31,-0.06,-0.37,15.692,15.003,16.387,142318.19,143202.75,153796.89
2015-09-21,15.14,16.33,16.25,14.51,154107.19,0.95,6.21,15.404,14.898,16.725,141722.96,153400.44,158873.86
2015-09-11,14.8,15.3,15.3,14.78,84194.99,0.31,2.07,15.004,14.658,16.985,143424.51,167277.66,155549.73
2015-09-10,15.39,15.85,14.99,14.9,126152.92,-0.74,-4.7,14.788,14.491,17.232,159860.76,198909.08,157292.98
2015-09-09,14.85,15.9,15.73,14.76,234955.52,0.98,6.64,14.634,14.506,17.554,169077.75,191004.09,158535.1
2015-09-08,14.15,15.04,14.75,13.8,109204.2,0.5,3.51,14.314,14.615,17.836,144087.31,173269.64,153421.05
2015-09-07,14.48,14.9,14.25,13.87,162614.94,0.03,0.21,14.392,15.009,18.07,165077.92,169913.62,151793.64
2015-09-02,13.4,15.0,14.22,13.4,166376.2,0.0,0.0,14.312,15.596,18.302,191130.8,162824.18,147895.76
2015-09-01,13.79,14.99,14.22,13.5,172237.88,0.09,0.64,14.194,16.265,18.535,237957.41,163452.61,144553.3
2015-08-31,15.4,15.4,14.13,14.13,110003.33,-1.01,-6.67,14.378,16.899,18.824,212930.43,160666.76,143885.88
2015-08-28,14.09,15.23,15.14,13.63,214157.27,1.29,9.31,14.916,17.77,19.098,202451.97,164391.04,146923.59
2015-08-27,14.02,14.38,13.85,12.27,292879.34,0.22,1.61,15.626,18.551,19.321,174749.32,164347.27,140359.11
2015-08-26,14.98,15.09,13.63,13.63,400509.22,-1.51,-9.97,16.88,19.311,19.641,134517.56,143821.81,132131.11
2015-08-25,15.14,15.14,15.14,15.14,47103.0,-1.68,-9.99,18.336,19.973,20.0,88947.81,115676.88,118795.56
2015-08-24,17.89,17.9,16.82,16.82,57611.0,-1.87,-10.01,19.42,20.602,20.242,108403.09,126066.1,126838.72
2015-08-21,19.7,19.95,18.69,18.28,75644.02,-1.43,-7.11,20.624,21.057,20.497,126330.12,133572.46,131225.29
2015-08-20,20.45,20.76,20.12,19.4,91720.57,-0.79,-3.78,21.476,21.131,20.779,153945.22,133673.65,138876.99
2015-08-19,19.2,21.4,20.91,18.92,172660.44,0.35,1.7,21.742,21.008,21.024,153126.05,132967.33,148607.29
2015-08-18,22.88,23.15,20.56,20.56,144379.44,-2.28,-9.98,21.61,20.805,21.229,142405.96,125653.99,150933.01
2015-08-17,23.0,23.73,22.84,22.47,147246.12,-0.11,-0.48,21.784,20.749,21.338,143729.11,127105.01,150846.28
2015-08-14,21.65,23.6,22.95,21.65,213719.55,1.5,6.99,21.49,20.425,21.23,140814.8,129456.13,155997.7
2015-08-13,20.0,21.49,21.45,19.88,87624.72,1.2,5.93,20.786,20.09,21.029,113402.08,116370.95,153781.56
2015-08-12,21.02,21.18,20.25,20.1,119059.97,-1.18,-5.51,20.274,19.97,20.856,112808.6,120440.42,164724.54
2015-08-11,21.38,22.97,21.43,21.11,150995.19,0.06,0.28,20.0,20.026,20.742,108902.03,121914.23,172932.36
2015-08-10,19.42,21.37,21.37,19.11,132674.56,1.94,9.98,19.714,19.882,20.669,110480.9,127611.33,176144.83
2015-08-07,19.28,19.77,19.43,19.05,76655.94,0.54,2.86,19.36,19.936,20.508,118097.46,128878.11,189056.65
2015-08-06,18.3,19.58,18.89,18.08,84657.36,0.01,0.05,19.394,20.427,20.439,119339.81,144080.34,211634.41
2015-08-05,19.71,20.17,18.88,18.5,99527.09,-1.12,-5.6,19.666,21.04,20.467,128072.23,164247.26,247186.57
2015-08-04,18.99,20.5,20.0,18.33,158889.56,0.4,2.04,20.052,21.653,20.408,134926.43,176212.03,242752.45
2015-08-03,19.2,19.6,19.6,17.64,170757.34,0.0,0.0,20.05,21.927,20.212,144741.76,174587.55,235488.0
2015-07-31,19.73,20.43,19.6,18.4,82867.72,-0.65,-3.21,20.512,22.034,19.963,139658.77,182539.27,228041.85
2015-07-30,20.53,21.99,20.25,20.12,128319.46,-0.56,-2.69,21.46,21.968,19.647,168820.86,191192.17,224039.09
2015-07-29,20.08,20.89,20.81,18.73,133798.06,0.82,4.1,22.414,21.741,19.239,200422.28,209008.66,217658.84
2015-07-28,19.73,21.4,19.99,19.72,207966.23,-1.92,-8.76,23.254,21.457,18.747,217497.63,223950.49,211032.52
2015-07-27,23.83,23.83,21.91,21.91,145342.38,-2.43,-9.98,23.804,21.455,18.247,204433.34,224678.32,200665.34
2015-07-24,24.66,25.12,24.34,23.69,228678.16,-0.68,-2.72,23.556,21.079,17.605,225419.78,249235.19,195124.56
2015-07-23,25.0,25.96,25.02,23.51,286326.56,0.01,0.04,22.476,20.45,16.843,213563.49,279188.49,185606.2
2015-07-22,24.1,25.01,25.01,23.5,219174.81,2.27,9.98,21.068,19.894,16.053,217595.04,330125.89,173574.01
2015-07-21,20.4,22.74,22.74,20.0,142644.77,2.07,10.02,19.66,19.162,15.274,230403.36,309292.88,163930.25
2015-07-20,18.78,20.67,20.67,18.5,250274.58,1.88,10.01,19.106,18.496,14.608,244923.3,296388.45,158353.91
2015-07-17,17.98,19.5,18.94,17.5,169396.72,0.96,5.34,18.602,17.891,14.049,273050.61,273544.43,147611.27
2015-07-16,16.53,18.6,17.98,16.17,306484.31,0.01,0.06,18.424,17.326,13.568,344813.49,256886.01,140540.28
2015-07-15,20.8,21.91,17.97,17.97,283216.41,-2.0,-10.02,18.72,16.736,13.134,442656.75,226309.02,128766.41
2015-07-14,19.97,19.97,19.97,19.01,215244.5,1.82,10.03,18.664,16.037,12.717,388182.4,198114.54,117462.15
2015-07-06,19.39,19.6,18.15,16.25,390911.09,0.1,0.55,17.886,15.038,12.213,347853.61,176652.35,109681.8
2015-07-03,18.0,20.0,18.05,17.51,528211.12,-1.41,-7.25,17.18,14.13,11.794,274038.25,141013.93,92737.83
2015-07-02,18.0,19.46,19.46,16.5,795700.62,1.77,10.01,16.228,13.235,11.392,168958.54,92023.92,71113.72
2015-07-01,17.69,17.69,17.69,17.69,10844.69,1.61,10.01,14.752,12.212,10.918,9961.3,17022.14,36026.84
2015-06-30,16.08,16.08,16.08,16.08,13600.51,1.46,9.99,13.41,11.386,10.526,8046.67,18567.62,37868.75
2015-06-29,14.62,14.62,14.62,14.62,21834.32,1.33,10.01,12.19,10.72,10.206,5451.1,20319.36,40475.67
2015-06-26,13.29,13.29,13.29,13.29,2812.57,1.21,10.02,11.08,10.207,9.957,7989.61,21678.11,43592.83
2015-06-25,12.08,12.08,12.08,12.08,714.42,1.1,10.02,10.242,9.81,9.764,15089.29,24194.55,47836.26
