date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-08-07,18.14,19.82,19.69,18.1,151428.73,1.67,9.27,18.062,17.08,17.217,121839.64,126053.09,150780.24
2015-08-06,18.4,18.92,18.02,17.6,119784.31,-0.48,-2.6,17.468,16.787,17.142,112460.55,126809.38,152638.76
2015-08-05,17.84,18.51,18.5,17.37,116811.1,0.64,3.58,17.258,16.657,17.192,124462.71,133966.03,158674.85
2015-08-04,16.01,17.86,17.86,16.01,140490.91,1.62,9.97,16.836,16.38,17.131,117424.79,136718.54,160516.14
2015-08-03,16.58,17.36,16.24,16.21,80683.17,-0.48,-2.87,16.244,16.204,17.043,110676.09,149917.16,160362.32
2015-07-31,16.31,17.56,16.72,16.29,104533.27,-0.25,-1.47,16.098,16.156,17.025,130266.54,201821.16,165069.7
2015-07-30,17.22,17.7,16.97,16.68,179795.12,0.58,3.54,16.106,16.186,16.933,141158.22,191747.43,168321.71
2015-07-29,16.39,16.39,16.39,16.06,81621.5,1.49,10.0,16.056,16.38,16.784,143469.35,180154.53,164015.69
2015-07-28,14.0,15.96,14.9,14.0,106747.38,-0.61,-3.93,15.924,16.659,16.641,156012.29,181158.86,165112.92
2015-07-27,16.52,17.82,15.51,15.19,178635.44,-1.25,-7.46,16.164,17.075,16.563,189158.23,182171.4,167526.99
2015-07-24,16.5,17.49,16.76,16.25,158991.64,0.04,0.24,16.214,17.354,16.475,273375.78,175507.38,176783.15
2015-07-23,15.7,17.3,16.72,15.3,191350.81,0.99,6.29,16.266,17.497,16.396,242336.65,178468.14,175869.18
2015-07-22,15.91,16.28,15.73,15.3,144336.2,-0.37,-2.3,16.704,17.726,16.285,216839.7,183383.67,173666.65
2015-07-21,15.3,16.27,16.1,15.0,272477.06,0.34,2.16,17.394,17.881,16.241,206305.42,184313.74,171034.03
2015-07-20,15.32,16.99,15.76,15.32,599723.19,-1.26,-7.4,17.986,17.881,16.158,175184.57,170807.47,160323.85
2015-07-17,17.02,17.02,17.02,17.02,3796.0,-1.89,-9.99,18.494,17.893,16.073,77638.98,128318.24,135160.45
2015-05-22,19.25,19.51,18.91,18.81,63866.03,-0.27,-1.41,18.728,17.68,15.946,114599.63,144895.99,139343.74
