date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-11-27,12.77,12.77,11.51,11.49,97864.08,-1.26,-9.87,12.502,13.005,12.917,76810.07,98488.05,97080.47
2015-11-26,12.75,13.08,12.77,12.6,74586.76,0.03,0.23,12.762,13.254,12.949,73373.78,102106.93,94152.52
2015-11-25,13.0,13.0,12.74,12.61,66986.14,-0.12,-0.93,12.808,13.364,12.915,77859.31,113389.99,93094.24
2015-11-24,12.63,13.09,12.86,12.5,71421.59,0.23,1.82,12.868,13.388,12.882,102391.96,113957.39,95888.78
2015-11-23,12.75,12.98,12.63,12.58,73191.8,-0.18,-1.41,13.126,13.398,12.889,111811.06,116395.37,103817.56
2015-11-20,13.06,13.07,12.81,12.67,80682.63,-0.19,-1.46,13.508,13.42,12.861,120166.03,118517.31,103807.34
2015-11-19,12.81,13.19,13.0,12.35,97014.41,-0.04,-0.31,13.746,13.394,12.835,130840.07,118991.95,103466.07
2015-11-18,14.23,14.28,13.04,12.74,189649.36,-1.11,-7.84,13.92,13.318,12.781,148920.67,114854.5,102196.59
2015-11-17,14.89,14.96,14.15,14.08,118517.1,-0.39,-2.68,13.908,13.263,12.698,125522.82,103459.53,98000.62
2015-11-16,13.85,14.97,14.54,13.5,114966.67,0.54,3.86,13.67,13.048,12.607,120979.68,99109.84,95754.49
2015-11-13,13.6,14.3,14.0,13.42,134052.83,0.13,0.94,13.332,12.828,12.496,116868.59,95672.89,93436.39
2015-11-12,12.83,14.28,13.87,12.7,187417.38,0.89,6.86,13.042,12.643,12.411,107143.83,86198.11,91845.67
2015-11-11,12.96,13.18,12.98,12.58,72660.11,0.02,0.15,12.716,12.466,12.349,80788.33,72798.49,91785.9
2015-11-10,12.84,13.4,12.96,12.56,95801.39,0.11,0.86,12.618,12.375,12.274,81396.24,77820.17,93787.93
2015-11-09,12.44,13.0,12.85,12.16,94411.25,0.3,2.39,12.426,12.379,12.227,77240.0,91239.75,93407.38
2015-11-06,12.24,12.69,12.55,12.24,85429.04,0.31,2.53,12.324,12.301,12.21,74477.2,89097.37,95508.71
2015-11-05,12.49,12.64,12.24,12.15,55639.86,-0.25,-2.0,12.244,12.276,12.17,65252.38,87940.18,97576.59
2015-11-04,12.1,12.7,12.49,11.92,75699.64,0.49,4.08,12.216,12.243,12.133,64808.65,89538.69,101606.79
2015-11-03,12.16,13.51,12.0,11.59,75020.2,-0.34,-2.75,12.132,12.132,12.029,74244.11,92541.72,97934.71
2015-11-02,12.02,12.8,12.34,11.95,80597.25,0.19,1.56,12.332,12.166,11.951,105239.5,92399.14,100309.16
2015-10-30,12.0,12.33,12.15,11.94,39304.96,0.05,0.41,12.278,12.163,11.845,103717.54,91199.89,106559.26
2015-10-29,12.0,12.29,12.1,11.88,53421.21,0.03,0.25,12.308,12.178,11.804,110627.97,97493.23,115201.39
