date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-11-27,15.81,15.9,14.38,14.37,606302.81,-1.59,-9.96,15.818,16.303,16.496,441120.91,510851.59,643768.37
2015-11-26,16.31,16.37,15.98,15.94,414304.22,-0.23,-1.42,16.294,16.562,16.578,421988.75,543303.21,644435.62
2015-11-25,16.16,16.24,16.21,15.95,403768.72,0.06,0.37,16.478,16.626,16.594,442984.43,561504.15,651143.62
2015-11-24,16.24,16.4,16.16,15.87,334045.81,-0.19,-1.16,16.572,16.705,16.593,485996.7,584244.88,669867.44
2015-11-23,16.69,16.93,16.36,16.3,447183.0,-0.39,-2.33,16.71,16.807,16.653,564004.8,632933.98,702071.13
2015-11-20,16.87,17.23,16.76,16.6,510642.0,-0.13,-0.77,16.788,16.912,16.682,580582.27,701852.0,734866.53
2015-11-19,16.69,16.93,16.9,16.31,519282.62,0.22,1.32,16.83,16.952,16.72,664617.66,730026.6,789391.61
2015-11-18,16.8,17.43,16.68,16.55,618830.06,-0.18,-1.07,16.774,16.967,16.731,680023.88,786619.73,830832.52
2015-11-17,16.95,17.36,16.85,16.71,724086.31,0.1,0.6,16.838,16.967,16.689,682493.06,805602.13,877666.63
2015-11-16,16.48,16.76,16.75,16.4,530070.38,-0.22,-1.3,16.904,16.821,16.725,701863.15,780061.56,918978.93
2015-11-13,16.6,17.49,16.97,16.48,930818.94,0.36,2.17,17.036,16.689,16.7,823121.73,776685.16,972679.8
2015-11-12,16.98,17.05,16.62,16.43,596313.69,-0.37,-2.18,17.074,16.594,16.679,795435.54,745568.04,1018222.1
2015-11-11,17.06,17.27,17.0,16.75,631176.0,-0.17,-0.99,17.16,16.562,16.603,893215.58,740783.09,1036210.11
2015-11-10,17.1,17.65,17.18,17.03,820936.75,-0.24,-1.38,17.096,16.481,16.472,928711.2,755490.0,1054398.25
2015-11-09,17.85,18.17,17.41,17.27,1136363.25,0.26,1.52,16.738,16.498,16.371,858259.97,771208.29,1092014.82
2015-11-06,16.89,17.32,17.16,16.8,792388.0,0.12,0.7,16.342,16.451,16.23,730248.59,767881.07,1123972.23
2015-11-05,16.73,17.38,17.05,16.45,1085213.88,0.38,2.28,16.114,16.488,16.067,695700.54,848756.62,1124588.86
