date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-11-27,21.76,21.76,19.91,19.69,50856.93,-1.85,-8.5,21.566,22.276,23.011,47403.72,59651.13,84115.32
2015-11-26,22.11,22.26,21.76,21.7,38050.02,-0.35,-1.58,22.19,22.668,23.224,50531.23,66401.38,87947.46
2015-11-25,21.84,22.28,22.11,21.78,40087.78,0.26,1.19,22.412,22.815,23.234,53043.43,72344.06,88262.95
2015-11-24,22.19,22.29,21.85,21.52,40436.81,-0.35,-1.58,22.466,22.902,23.209,57588.21,78530.42,89399.77
2015-11-23,23.09,23.21,22.2,22.11,67587.08,-0.83,-3.6,22.81,22.919,23.255,70723.36,88193.17,91644.23
2015-11-20,23.37,23.5,23.03,22.61,66494.46,0.16,0.7,22.986,23.04,23.245,71898.53,92106.55,92833.12
2015-11-19,22.45,22.98,22.87,21.91,50611.02,0.49,2.19,23.146,23.137,23.128,82271.52,95557.9,93684.34
2015-11-18,23.1,23.43,22.38,22.2,62811.68,-1.19,-5.05,23.218,23.293,22.985,91644.69,102393.65,93781.68
2015-11-17,23.3,24.02,23.57,22.86,106112.54,0.49,2.12,23.338,23.567,22.793,99472.63,106687.3,94322.43
2015-11-16,23.15,23.4,23.08,22.58,73462.97,-0.75,-3.15,23.028,23.611,22.629,105662.98,101908.22,90782.73
2015-11-13,23.39,24.08,23.83,23.11,118359.41,0.6,2.58,23.094,23.746,22.493,112314.56,108579.52,89872.04
2015-11-12,23.03,23.5,23.23,22.61,97476.87,0.25,1.09,23.128,23.779,22.334,108844.28,109493.54,87690.83
2015-11-11,22.38,23.0,22.98,22.25,101951.34,0.96,4.36,23.368,23.652,22.11,113142.6,104181.84,85256.59
2015-11-10,23.41,23.75,22.02,22.02,137064.3,-1.39,-5.94,23.796,23.515,21.845,113901.97,100269.12,81676.95
2015-11-09,23.45,23.88,23.41,22.48,106720.86,-0.59,-2.46,24.194,23.591,21.658,98153.47,95095.28,77219.26
2015-11-06,24.25,24.25,24.0,23.55,101008.04,-0.43,-1.76,24.398,23.45,21.375,104844.48,93559.69,73869.36
2015-11-05,25.98,25.98,24.43,24.11,118968.46,-0.69,-2.75,24.43,23.119,21.023,110142.8,91810.78,70107.55
2015-11-04,23.98,25.28,25.12,23.65,105748.17,1.11,4.62,23.936,22.676,20.641,95221.08,85169.72,65352.98
2015-11-03,23.75,24.5,24.01,23.51,58321.82,-0.42,-1.72,23.234,22.018,20.19,86636.28,81957.56,60071.77
2015-11-02,23.6,25.08,24.43,23.28,140175.91,0.27,1.12,22.988,21.647,19.795,92037.1,79657.23,57594.53
2015-10-30,23.23,24.16,24.16,22.88,127499.65,2.2,10.02,22.502,21.24,19.378,82274.91,71164.57,51186.03
2015-10-29,21.83,22.45,21.96,21.68,44359.87,0.35,1.62,21.808,20.888,18.98,73478.76,65888.12,45494.3
2015-10-28,22.6,23.11,21.61,21.3,62824.16,-1.17,-5.14,21.416,20.568,18.661,75118.35,66331.34,44202.86
2015-10-27,21.7,23.55,22.78,21.0,85325.9,0.78,3.54,20.802,20.175,18.407,77278.83,63084.78,41846.03
2015-10-26,20.94,22.46,22.0,20.18,91364.95,1.31,6.33,20.306,19.724,18.083,67277.36,59343.24,38409.89
2015-10-23,19.73,21.28,20.69,19.42,83518.91,0.69,3.45,19.978,19.299,17.825,60054.23,54179.02,35214.94
2015-10-22,18.65,20.08,20.0,18.65,52557.83,1.46,7.88,19.968,18.927,17.647,58297.48,48404.32,33017.6
2015-10-21,20.89,21.46,18.54,18.31,73626.56,-1.76,-8.67,19.72,18.605,17.489,57544.33,45536.25,32216.89
2015-10-20,20.02,20.39,20.3,19.85,35318.54,-0.06,-0.29,19.548,18.361,17.379,48890.73,38185.99,30396.51
2015-10-19,20.5,20.93,20.36,19.75,55249.33,-0.28,-1.36,19.142,17.943,17.195,51409.12,35531.84,29934.48
2015-10-16,18.75,20.64,20.64,18.5,74735.14,1.88,10.02,18.62,17.516,16.932,48303.8,31207.48,28241.99
2015-10-15,17.5,19.0,18.76,17.49,48792.07,1.08,6.11,17.886,17.072,16.664,38511.16,25100.48,25545.71
2015-10-14,18.0,18.19,17.68,17.53,30358.55,-0.59,-3.23,17.49,16.753,16.576,33528.17,22074.38,24018.51
2015-10-13,17.48,18.48,18.27,17.4,47910.53,0.52,2.93,17.174,16.638,16.523,27481.26,20607.28,23193.43
2015-10-12,16.9,18.25,17.75,16.8,39722.72,0.78,4.6,16.744,16.442,16.469,19654.55,17476.54,22075.84
2015-10-09,16.66,17.08,16.97,16.52,25771.91,0.19,1.13,16.412,16.35,16.419,14111.16,16250.87,20830.17
2015-10-08,16.66,16.88,16.78,16.3,23877.13,0.66,4.09,16.258,16.366,16.385,11689.79,17630.88,20493.78
2015-10-07,16.05,16.1,16.1,15.99,124.0,-0.02,-0.12,16.016,16.373,16.358,10620.59,18897.54,20945.06
2015-09-30,15.86,16.18,16.12,15.66,8777.0,0.03,0.19,16.102,16.397,16.322,13733.31,22607.03,22090.87
2015-09-29,16.02,16.09,16.09,15.5,12005.78,-0.11,-0.68,16.14,16.446,16.365,15298.52,24337.13,23329.91
