date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-11-27,27.18,27.79,26.16,26.02,75091.03,-1.36,-4.94,27.19,26.93,26.866,71419.64,68231.31,75411.45
2015-11-26,28.48,29.0,27.52,27.32,86074.25,-0.61,-2.17,27.432,26.953,26.809,70836.58,68235.33,75660.47
2015-11-25,27.38,28.55,28.13,27.3,83584.45,0.65,2.37,27.274,26.947,26.712,65861.99,67276.53,80630.13
2015-11-24,26.51,27.52,27.48,26.0,53640.93,0.82,3.08,26.758,26.926,26.589,62006.37,66180.02,81339.33
2015-11-23,27.77,27.77,26.66,26.6,58707.55,-0.71,-2.59,26.572,26.956,26.512,65911.25,67742.76,85543.08
2015-11-20,27.18,27.64,27.37,26.8,72175.7,0.64,2.39,26.67,27.053,26.386,65042.97,70311.21,86572.95
2015-11-19,25.84,26.8,26.73,25.54,61201.31,1.18,4.62,26.474,27.066,26.236,65634.09,70822.76,86861.01
2015-11-18,26.57,26.62,25.55,25.48,64306.36,-1.0,-3.77,26.62,27.102,26.102,68691.07,75419.16,88059.81
2015-11-17,27.42,27.6,26.55,26.5,73165.31,-0.6,-2.21,27.094,27.169,25.979,70353.67,78226.93,92199.11
2015-11-16,25.92,27.18,27.15,25.8,54366.19,0.76,2.88,27.34,27.011,25.892,69574.27,77562.82,92681.86
2015-11-13,27.1,27.3,26.39,26.2,75131.28,-1.07,-3.9,27.436,26.802,25.762,75579.45,82591.59,93931.56
2015-11-12,28.19,28.22,27.46,27.0,76486.2,-0.46,-1.65,27.658,26.664,25.696,76011.43,83085.61,94226.25
2015-11-11,27.63,28.25,27.92,27.33,72619.38,0.14,0.5,27.584,26.476,25.582,82147.26,93983.74,95786.52
2015-11-10,27.45,28.96,27.78,27.15,69268.28,0.15,0.54,27.244,26.251,25.4,86100.19,96498.64,99895.79
2015-11-09,27.15,28.04,27.63,26.66,84392.09,0.13,0.47,26.682,26.067,25.223,85551.37,103343.41,111065.53
2015-11-06,27.27,27.78,27.5,26.86,77291.21,0.41,1.51,26.168,25.718,24.982,89603.74,102834.68,110628.36
2015-11-05,26.4,27.77,27.09,26.22,107165.35,0.87,3.32,25.67,25.405,24.71,90159.78,102899.26,111919.93
2015-11-04,25.22,26.26,26.22,25.18,92384.0,1.25,5.01,25.368,25.101,24.401,105820.22,100700.45,110382.21
2015-11-03,24.97,25.51,24.97,24.8,66524.18,-0.09,-0.36,25.258,24.788,24.063,106897.1,106171.29,105789.46
2015-11-02,24.5,26.2,25.06,24.3,104653.97,0.05,0.2,25.452,24.773,23.777,121135.45,107800.91,104135.36
2015-10-30,25.32,25.8,25.01,24.69,80071.42,-0.57,-2.23,25.268,24.722,23.493,116065.62,105271.52,101511.47
2015-10-29,26.22,27.3,25.58,25.42,185467.52,-0.09,-0.35,25.14,24.728,23.214,115638.73,105366.89,99650.96
2015-10-28,25.57,26.17,25.67,25.11,97768.42,-0.27,-1.04,24.834,24.687,22.884,95580.69,97589.3,93316.31
2015-10-27,24.08,26.27,25.94,23.6,137715.91,1.8,7.46,24.318,24.549,22.566,105445.47,103292.95,91214.7
2015-10-26,24.8,24.8,24.14,23.69,79304.85,-0.23,-0.94,24.094,24.378,22.234,94466.37,118787.65,88083.01
2015-10-23,24.3,24.6,24.37,23.5,77936.96,0.32,1.33,24.176,24.246,21.951,94477.42,118422.05,87278.8
2015-10-22,22.92,24.33,24.05,22.88,85177.31,0.96,4.16,24.316,24.015,21.657,95095.05,120940.61,86984.23
2015-10-21,25.0,25.84,23.09,22.88,147092.34,-1.73,-6.97,24.54,23.701,21.308,99597.91,120063.97,84380.09
2015-10-20,24.52,24.99,24.82,24.0,82820.41,0.27,1.1,24.78,23.337,20.998,101140.42,105407.63,80174.43
2015-10-19,25.07,25.52,24.55,24.29,79360.08,-0.52,-2.07,24.662,22.78,20.617,143108.93,100469.8,78771.07
2015-10-16,25.48,25.75,25.07,24.5,81025.11,-0.1,-0.4,24.316,22.263,20.172,142366.67,97751.41,77970.91
2015-10-15,24.11,25.45,25.17,23.88,107691.59,0.88,3.62,23.714,21.699,19.785,146786.16,93935.03,77148.1
2015-10-14,24.18,25.48,24.29,24.11,154804.89,0.06,0.25,22.862,21.081,19.489,140530.03,89043.32,75543.8
2015-10-13,25.1,25.1,24.23,24.0,292662.97,1.41,6.18,21.894,20.582,19.243,109674.85,79136.45,75174.66
2015-10-12,22.15,23.2,22.82,22.15,75648.8,0.76,3.44,20.898,20.089,19.016,57830.68,57378.37,69039.26
2015-10-09,20.56,22.39,22.06,20.56,103122.57,1.15,5.5,20.21,19.655,18.825,53136.15,56135.55,68751.82
2015-10-08,19.8,21.18,20.91,19.8,76410.93,1.66,8.62,19.684,19.299,18.586,41083.9,53027.85,67680.16
2015-10-07,19.35,19.53,19.45,19.33,529.0,0.2,1.04,19.3,18.915,18.418,37556.61,48696.22,68682.23
2015-09-30,19.4,19.59,19.25,18.87,33442.08,-0.13,-0.67,19.27,18.659,18.278,48598.05,54941.23,72238.6
2015-09-29,19.45,20.04,19.38,19.15,52176.17,-0.05,-0.26,19.28,18.454,18.216,56926.06,57072.33,74109.86
2015-09-28,18.99,19.48,19.43,18.37,42861.3,0.44,2.32,19.1,18.08,18.201,59134.95,58190.41,77282.92
2015-09-25,19.2,20.0,18.99,18.8,58774.52,-0.31,-1.61,18.914,17.87,18.14,64971.81,60361.17,80967.31
2015-09-24,19.29,19.68,19.3,19.01,55736.2,0.0,0.0,18.53,17.896,18.019,59835.82,62044.28,85101.64
2015-09-23,18.2,19.98,19.3,18.02,75082.11,0.82,4.44,18.048,17.904,17.827,61284.4,71212.87,87187.42
2015-09-22,18.49,19.09,18.48,18.32,63220.63,-0.02,-0.11,17.628,17.942,17.722,57218.6,80700.15,86330.25
2015-09-21,16.87,18.77,18.5,16.83,72045.57,1.43,8.38,17.06,17.995,17.753,57245.88,81368.1,86234.74
2015-09-18,16.9,17.25,17.07,16.66,33094.57,0.18,1.07,16.826,17.873,17.862,55750.54,82332.47,87044.91
2015-09-17,17.4,17.85,16.89,16.89,62979.14,-0.31,-1.8,17.262,17.921,18.031,64252.75,88668.24,89122.46
2015-09-16,15.81,17.2,17.2,15.81,54753.09,1.56,9.97,17.76,17.896,18.204,81141.34,89535.97,90300.62
2015-09-15,16.4,17.1,15.64,15.6,63357.01,-1.69,-9.75,18.256,17.977,18.466,104181.7,91147.39,90836.68
2015-09-14,19.3,19.38,17.33,17.33,64568.87,-1.92,-9.97,18.93,18.321,18.813,105490.32,96375.43,91396.48
2015-09-11,19.57,19.89,19.25,18.63,75605.62,-0.13,-0.67,18.92,18.41,19.096,108914.41,101573.44,91887.99
2015-09-10,19.2,20.69,19.38,18.96,147422.11,-0.3,-1.52,18.58,18.141,19.265,113083.74,108158.99,91685.27
2015-09-09,18.8,19.93,19.68,18.64,169954.88,0.67,3.52,18.032,17.75,19.427,97930.59,103161.96,89238.8
2015-09-08,17.12,19.01,19.01,16.75,69900.11,1.73,10.01,17.698,17.501,19.579,78113.08,91960.36,86062.19
2015-09-07,17.89,18.86,17.28,17.1,81689.31,-0.27,-1.54,17.712,17.51,19.713,87260.55,91101.38,85829.78
2015-09-02,15.65,17.75,17.55,15.02,96452.27,0.91,5.47,17.9,17.85,19.902,94232.47,91757.36,84060.62
2015-09-01,17.68,17.94,16.64,16.5,71656.39,-1.37,-7.61,17.702,18.141,20.094,103234.25,89576.68,83853.64
2015-08-31,19.0,19.0,18.01,18.0,70867.31,-1.07,-5.61,17.468,18.512,20.362,108393.32,91065.28,84275.95
2015-08-28,18.7,19.4,19.08,18.2,115637.45,0.86,4.72,17.304,18.954,20.463,105807.63,90525.96,84873.08
2015-08-27,16.99,18.22,18.22,16.56,116548.95,1.66,10.02,17.308,19.304,20.604,94942.2,86417.52,84472.28
2015-08-26,15.79,17.02,16.56,15.1,141461.16,1.09,7.05,17.8,19.782,20.776,89282.24,82202.55,86222.96
2015-08-25,15.66,16.19,15.47,15.47,97451.75,-1.72,-10.01,18.58,20.389,21.073,75919.1,75211.55,85587.2
2015-08-24,18.3,18.8,17.19,17.19,57938.85,-1.91,-10.0,19.556,21.104,21.344,73737.23,75315.64,89260.79
2015-08-21,20.2,20.67,19.1,19.03,61310.31,-1.58,-7.64,20.604,21.656,21.552,75244.29,80164.03,98900.99
2015-08-20,21.2,21.9,20.68,20.5,88249.11,0.22,1.07,21.3,21.916,21.783,77892.84,80558.19,110103.38
2015-08-19,19.86,20.99,20.46,19.0,74645.49,0.11,0.54,21.764,21.953,21.827,75122.86,76363.88,112208.73
2015-08-18,22.38,22.65,20.35,20.19,86542.37,-2.08,-9.27,22.198,22.047,21.784,74503.99,78130.61,110322.61
2015-08-17,22.4,22.68,22.43,21.91,65474.19,-0.15,-0.66,22.652,22.212,21.658,76894.05,77486.62,106160.14
2015-08-14,23.33,23.33,22.58,22.54,74553.02,-0.42,-1.83,22.708,21.972,21.346,85083.76,79220.2,102991.03
2015-08-13,22.5,23.05,23.0,22.11,74399.23,0.37,1.64,22.532,21.904,20.954,83223.55,82527.04,104163.3
2015-08-12,22.2,23.35,22.63,22.02,71551.15,0.01,0.04,22.142,21.769,20.622,77604.91,90243.37,107295.94
2015-08-11,22.73,23.15,22.62,22.4,98492.66,-0.09,-0.4,21.896,21.756,20.381,81757.22,95962.85,108674.83
2015-08-10,21.98,23.29,22.71,21.73,106422.73,1.01,4.65,21.772,21.584,20.24,78079.2,103205.94,109289.22
2015-08-07,21.4,21.94,21.7,21.24,65251.99,0.65,3.09,21.236,21.448,20.204,73356.64,117637.95,109824.27
2015-08-06,20.79,21.5,21.05,20.5,46306.0,-0.35,-1.64,21.276,21.65,20.336,81830.53,139648.56,113404.17
