date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-11-27,10.32,10.39,9.43,9.38,195848.03,-0.99,-9.5,10.314,10.488,10.297,171974.16,207788.33,264462.8
2015-11-26,10.79,10.86,10.42,10.4,153484.19,-0.29,-2.71,10.528,10.647,10.322,163726.45,248071.0,265588.62
2015-11-25,10.68,10.85,10.71,10.56,187499.69,0.03,0.28,10.564,10.68,10.314,165677.76,276161.83,271029.45
2015-11-24,10.32,10.7,10.68,10.23,155714.73,0.35,3.39,10.49,10.65,10.271,165172.61,288278.85,272909.11
2015-11-23,10.64,10.64,10.33,10.24,167324.16,-0.17,-1.62,10.49,10.614,10.245,202525.03,302513.32,281504.27
2015-11-20,10.55,10.65,10.5,10.4,154609.47,-0.1,-0.94,10.662,10.601,10.248,243602.49,314439.83,294798.04
2015-11-19,10.36,10.64,10.6,10.25,163240.73,0.26,2.52,10.766,10.568,10.248,332415.55,322973.84,312682.87
2015-11-18,10.8,10.88,10.34,10.29,184973.97,-0.34,-3.18,10.796,10.5,10.227,386645.91,345073.37,327854.55
2015-11-17,11.24,11.4,10.68,10.66,342476.81,-0.51,-4.56,10.81,10.465,10.197,411385.09,355852.79,343698.96
2015-11-16,11.06,11.45,11.19,10.95,372711.47,0.17,1.54,10.738,10.305,10.193,402501.62,339151.47,347874.4
2015-11-13,10.8,11.79,11.02,10.61,598674.75,0.27,2.51,10.54,10.105,10.169,385277.18,321137.28,362591.47
2015-11-12,10.35,10.84,10.75,10.02,434392.56,0.34,3.27,10.37,9.997,10.14,313532.13,283106.24,366775.0
2015-11-11,10.64,10.74,10.41,10.26,308669.84,0.09,0.87,10.204,9.947,10.138,303500.82,265897.06,390552.12
2015-11-10,10.1,10.5,10.32,10.0,298059.47,0.12,1.18,10.12,9.891,10.135,300320.49,257539.36,404299.06
2015-11-09,9.8,10.46,10.2,9.76,286589.28,0.03,0.29,9.872,9.875,10.089,275801.32,260495.22,417242.98
2015-11-06,10.0,10.33,10.17,9.92,239949.5,0.25,2.52,9.67,9.895,10.007,256997.37,275156.25,424475.19
2015-11-05,10.05,10.4,9.92,9.88,384236.0,-0.07,-0.7,9.624,9.927,9.887,252680.36,302391.9,422163.33
2015-11-04,9.18,9.99,9.99,9.09,292768.22,0.91,10.02,9.69,9.953,9.771,228293.3,310635.74,411906.79
2015-11-03,9.28,9.38,9.08,8.95,175463.58,-0.11,-1.2,9.662,9.929,9.634,214758.23,331545.13,397503.01
2015-11-02,9.6,9.88,9.19,9.17,192569.55,-0.75,-7.54,9.878,10.08,9.538,245189.12,356597.33,396305.84
2015-10-30,10.18,10.27,9.94,9.68,218364.44,-0.31,-3.02,10.12,10.232,9.438,293315.13,404045.67,394411.24
2015-10-29,10.1,10.46,10.25,9.81,262300.69,0.4,4.06,10.23,10.283,9.3,352103.43,450443.75,392309.33
2015-10-28,10.17,10.53,9.85,9.72,225092.88,-0.31,-3.05,10.216,10.328,9.142,392978.18,515207.19,389157.52
2015-10-27,10.2,10.28,10.16,9.51,327618.06,-0.24,-2.31,10.196,10.378,9.032,448332.03,551058.76,390542.28
2015-10-26,10.49,11.0,10.4,10.25,433199.56,-0.09,-0.86,10.282,10.303,8.905,468005.54,573990.73,392776.96
2015-10-23,10.02,10.78,10.49,9.88,512305.97,0.31,3.04,10.344,10.118,8.769,514776.22,573794.12,393883.13
2015-10-22,9.75,10.4,10.18,9.45,466674.44,0.43,4.41,10.336,9.846,8.611,548784.06,541934.77,378838.18
2015-10-21,10.51,11.0,9.75,9.72,501862.12,-0.84,-7.93,10.44,9.588,8.436,637436.2,513177.84,363894.37
2015-10-20,10.6,10.7,10.59,10.28,425985.62,-0.12,-1.12,10.56,9.338,8.271,653785.49,463460.9,349096.93
2015-10-19,10.39,10.75,10.71,10.06,667052.94,0.26,2.49,10.324,8.995,8.07,679975.92,436014.34,336629.0
