date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-11-27,20.9,21.85,21.85,20.33,709242.31,1.99,10.02,18.89,17.83,16.603,262854.87,207985.21,212853.37
2015-11-26,18.81,19.86,19.86,18.8,116245.22,1.81,10.03,17.96,17.239,16.344,156473.85,149460.85,182871.21
2015-11-25,17.33,18.47,18.05,17.2,205305.52,0.78,4.52,17.292,16.919,16.168,149389.06,155855.67,180336.93
2015-11-24,17.39,17.55,17.27,16.76,99134.06,-0.15,-0.86,16.912,16.752,16.077,127999.88,155539.55,173738.61
2015-11-23,17.36,18.04,17.42,16.98,184347.23,0.22,1.28,16.792,16.625,16.056,145501.55,175774.18,174486.4
2015-11-20,16.54,17.4,17.2,16.53,177337.23,0.68,4.12,16.77,16.429,16.027,153115.56,173488.36,173166.87
2015-11-19,16.19,16.57,16.52,16.06,80821.28,0.37,2.29,16.518,16.236,16.027,142447.84,173249.47,172082.02
2015-11-18,16.51,16.78,16.15,16.09,98359.62,-0.52,-3.12,16.546,16.077,16.033,162322.27,191434.0,174584.23
2015-11-17,17.14,17.28,16.67,16.6,186642.38,-0.64,-3.7,16.592,15.903,16.027,183079.21,204000.67,176437.22
2015-11-16,15.73,17.47,17.31,15.51,222417.28,1.37,8.6,16.458,15.605,16.083,206046.82,215366.33,175214.11
2015-11-13,16.32,16.49,15.94,15.7,123998.63,-0.72,-4.32,16.088,15.375,16.06,193861.15,217721.52,172372.12
2015-11-12,16.31,17.09,16.66,16.23,180193.45,0.28,1.71,15.954,15.449,16.113,204051.1,216281.58,175009.03
2015-11-11,15.8,16.5,16.38,15.65,202144.3,0.38,2.38,15.608,15.416,16.104,220545.72,204818.2,170512.1
2015-11-10,15.68,17.01,16.0,15.48,301480.44,0.54,3.49,15.214,15.401,16.033,224922.14,191937.67,164172.98
2015-11-09,15.02,15.75,15.46,14.82,161488.94,0.19,1.24,14.752,15.486,16.002,224685.83,173198.62,153226.34
2015-11-06,14.75,15.5,15.27,14.74,174948.38,0.34,2.28,14.662,15.625,15.999,241581.9,172845.39,153018.26
2015-11-05,14.3,15.35,14.93,14.13,262666.53,0.52,3.61,14.944,15.817,15.967,228512.05,170914.57,150980.08
2015-11-04,13.71,14.48,14.41,13.71,224026.39,0.72,5.26,15.224,15.989,15.885,189090.68,157734.46,141271.47
2015-11-03,14.63,14.63,13.69,13.51,300298.91,-1.32,-8.79,15.588,16.15,15.806,158953.21,148873.76,130117.05
2015-11-02,15.01,15.65,15.01,15.01,245969.27,-1.67,-10.01,16.22,16.561,15.756,121711.41,135061.9,117735.38
2015-10-30,16.33,17.15,16.68,16.2,109599.15,0.35,2.14,16.588,16.744,15.643,104108.89,127022.71,108866.99
2015-10-29,16.48,16.63,16.33,16.0,65559.7,0.1,0.62,16.69,16.777,15.465,113317.1,133736.48,107714.21
2015-10-28,16.5,16.92,16.23,16.1,73339.01,-0.62,-3.68,16.754,16.791,15.267,126378.23,136205.99,108882.32
2015-10-27,16.54,17.2,16.85,15.6,114089.92,0.0,0.0,16.712,16.665,15.104,138794.32,136408.29,109180.17
2015-10-26,17.38,17.38,16.85,16.48,157956.67,-0.34,-1.98,16.902,16.517,14.878,148412.39,133254.05,105910.03
2015-10-23,16.72,17.4,17.19,16.5,155640.19,0.54,3.24,16.9,16.372,14.669,149936.53,133191.13,100936.74
2015-10-22,15.6,16.79,16.65,15.5,130865.36,0.63,3.93,16.864,16.116,14.435,154155.86,131045.59,96398.88
2015-10-21,17.9,17.95,16.02,16.02,135419.44,-1.78,-10.0,16.828,15.781,14.193,146033.75,124808.48,92026.47
2015-10-20,16.7,18.47,17.8,16.52,162180.3,0.96,5.7,16.618,15.462,13.973,134022.27,111360.34,89388.44
2015-10-19,17.2,17.51,16.84,16.4,165577.38,-0.17,-1.0,16.132,14.95,13.677,118095.72,100408.87,84427.06
2015-10-16,17.59,17.78,17.01,16.7,176736.83,0.54,3.28,15.844,14.541,13.381,116445.72,90711.27,79448.53
2015-10-15,14.97,16.47,16.47,14.83,90254.8,1.5,10.02,15.368,14.153,13.12,107935.32,81691.95,74560.43
2015-10-14,15.3,15.57,14.97,14.87,75362.03,-0.4,-2.6,14.734,13.743,12.951,103583.22,81558.64,73566.71
2015-10-13,15.1,15.58,15.37,14.95,82547.54,-0.03,-0.2,14.306,13.542,12.842,88698.41,81952.06,75078.98
2015-10-12,14.69,15.67,15.4,14.5,157327.42,0.77,5.26,13.768,13.238,12.75,82722.02,78566.01,76429.97
2015-10-09,13.31,14.63,14.63,13.18,134184.8,1.33,10.0,13.238,12.966,12.612,64976.82,68682.36,72663.1
2015-10-08,13.19,13.44,13.3,12.98,68494.3,0.62,4.89,12.938,12.754,12.461,55448.58,61752.17,70810.51
2015-10-07,13.0,13.0,12.83,12.8,938.0,0.15,1.18,12.752,12.604,12.348,59534.07,59244.45,71289.01
2015-09-30,12.9,13.06,12.68,12.6,52665.58,-0.07,-0.55,12.778,12.483,12.319,75205.7,67416.55,76008.87
2015-09-29,12.79,12.95,12.75,12.5,68601.43,-0.38,-2.89,12.708,12.404,12.325,74409.99,68445.25,77635.73
2015-09-28,12.57,13.28,13.13,12.3,86543.59,0.76,6.14,12.694,12.22,12.393,72387.89,68185.79,80383.64
2015-09-25,12.8,13.33,12.37,12.16,88921.75,-0.59,-4.55,12.57,12.086,12.394,68055.77,67428.92,80294.42
2015-09-24,12.39,13.21,12.96,12.39,79296.14,0.63,5.11,12.456,12.159,12.398,58954.83,65574.77,79833.82
2015-09-23,12.38,12.58,12.33,12.09,48687.05,-0.35,-2.76,12.188,12.142,12.41,59627.4,68205.9,79757.73
2015-09-22,12.5,12.96,12.68,12.38,58490.91,0.17,1.36,12.1,12.261,12.527,62480.5,74293.92,79042.75
2015-09-21,11.5,12.51,12.51,11.4,64882.98,0.71,6.02,11.746,12.258,12.708,63983.69,76643.85,79546.67
2015-09-18,11.71,11.99,11.8,11.52,43417.08,0.18,1.55,11.602,12.167,12.945,66802.06,79868.84,79154.9
2015-09-17,11.87,12.5,11.62,11.6,82658.97,-0.27,-2.27,11.862,12.092,13.266,72194.71,83333.57,81713.23
2015-09-16,10.9,12.0,11.89,10.9,62952.58,0.98,8.98,12.096,12.155,13.597,76784.41,84601.2,83129.64
2015-09-15,11.02,11.46,10.91,10.61,66006.82,-0.88,-7.46,12.422,12.246,14.015,86107.34,86826.21,85219.72
2015-09-14,13.18,13.2,11.79,11.79,78974.87,-1.31,-10.0,12.77,12.566,14.464,89304.0,92581.49,88017.65
2015-09-11,12.87,13.41,13.1,12.82,70380.3,0.31,2.42,12.732,12.701,14.825,92935.62,93159.92,88260.76
2015-09-10,13.09,13.27,12.79,12.71,105607.46,-0.73,-5.4,12.322,12.636,15.079,94472.42,94092.87,89329.52
2015-09-09,12.64,13.67,13.52,12.5,109567.27,0.87,6.88,12.214,12.677,15.389,92417.98,91309.55,89076.78
2015-09-08,11.4,12.73,12.65,11.2,81990.12,1.05,9.05,12.07,12.792,15.672,87545.08,83791.58,88852.65
2015-09-07,11.36,12.16,11.6,11.3,97132.95,0.55,4.98,12.362,13.157,15.953,95858.98,82449.49,90390.48
2015-09-02,11.25,12.56,11.05,11.05,78064.32,-1.2,-9.8,12.67,13.723,16.246,93384.22,78440.96,92068.63
2015-09-01,12.8,13.25,12.25,11.72,95335.26,-0.55,-4.3,12.95,14.44,16.528,93713.31,80092.9,94255.41
2015-08-31,13.86,13.88,12.8,12.8,85202.74,-1.31,-9.28,13.14,15.038,16.73,90201.12,81658.09,93914.82
2015-08-28,13.5,14.11,14.11,12.97,123559.62,0.97,7.38,13.514,15.783,16.831,80038.07,83613.23,93732.56
2015-08-27,12.85,13.35,13.14,12.0,84759.17,0.69,5.54,13.952,16.362,16.918,69040.0,83453.81,91883.81
2015-08-26,13.25,13.68,12.45,11.95,79709.76,-0.75,-5.68,14.776,16.948,17.114,63497.7,83361.6,93550.52
2015-08-25,13.2,13.76,13.2,13.2,77774.3,-1.47,-10.02,15.93,17.521,17.386,66472.5,84566.18,95395.56
2015-08-24,15.36,15.6,14.67,14.67,34387.51,-1.63,-10.0,16.936,18.101,17.573,73115.07,86844.01,98614.28
2015-08-21,16.85,17.25,16.3,16.0,68569.25,-0.96,-5.56,18.052,18.552,17.78,87188.39,93913.73,104148.22
2015-08-20,17.79,18.8,17.26,17.17,57047.67,-0.96,-5.27,18.772,18.748,18.01,97867.62,98331.48,109285.0
2015-08-19,17.7,18.8,18.22,16.41,94583.76,-0.01,-0.06,19.12,18.768,18.213,103225.5,105696.31,113448.39
2015-08-18,20.24,20.25,18.23,18.23,110987.14,-2.02,-9.97,19.112,18.616,18.349,102659.86,108417.91,116809.34
2015-08-17,20.0,20.5,20.25,19.58,104754.12,0.35,1.76,19.266,18.422,18.452,100572.96,106171.54,118216.14
2015-08-14,19.04,19.94,19.9,18.98,121965.42,0.9,4.74,19.052,17.878,18.483,100639.06,103851.88,123999.21
2015-08-13,18.1,19.11,19.0,18.06,83837.04,0.82,4.51,18.724,17.474,18.55,98795.34,100313.81,129090.54
2015-08-12,18.63,18.96,18.18,18.17,91755.59,-0.82,-4.32,18.416,17.279,18.588,108167.12,103739.45,135860.33
2015-08-11,19.0,19.5,19.0,18.76,100552.64,-0.18,-0.94,18.12,17.251,18.576,114175.95,106224.93,143655.74
2015-08-10,18.27,19.37,19.18,17.9,105084.63,0.92,5.04,17.578,17.044,18.623,111770.12,110384.55,145677.52
2015-08-07,17.61,18.44,18.26,17.25,112746.8,0.8,4.58,16.704,17.007,18.571,107064.7,114382.72,142101.54
2015-08-06,16.1,18.1,17.46,16.03,130695.93,0.76,4.55,16.224,17.271,18.482,101832.28,120238.53,136922.14
2015-08-05,16.52,17.36,16.7,16.29,121799.75,0.41,2.52,16.142,17.657,18.358,99311.78,121200.46,134171.12
2015-08-04,14.99,16.29,16.29,14.99,88523.5,1.48,9.99,16.382,18.081,18.204,98273.91,125200.77,146966.72
2015-08-03,15.69,16.5,14.81,14.27,81557.5,-1.05,-6.62,16.51,18.481,18.038,108998.97,130260.74,147159.67
2015-07-31,16.33,16.91,15.86,15.5,86584.71,-1.19,-6.98,17.31,19.088,18.018,121700.75,144146.55,150751.69
2015-07-30,17.7,18.21,17.05,16.7,118093.44,-0.85,-4.75,18.318,19.626,18.025,138644.77,157867.28,154247.25
2015-07-29,17.37,17.9,17.9,15.85,116610.41,0.97,5.73,19.172,19.896,18.062,143089.15,167981.22,153671.73
