date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-11-27,8.91,9.07,8.29,8.1,229026.86,-0.69,-7.68,8.946,8.707,8.283,208040.84,188286.18,206197.77
2015-11-26,9.21,9.34,8.98,8.95,191152.48,-0.29,-3.13,9.054,8.709,8.239,204471.77,188761.14,202723.9
2015-11-25,9.05,9.46,9.27,8.98,187458.08,0.15,1.65,8.962,8.655,8.169,196888.08,193871.71,205065.41
2015-11-24,9.0,9.15,9.12,8.78,167178.48,0.05,0.55,8.754,8.548,8.076,185750.94,198973.06,208434.68
2015-11-23,8.87,9.34,9.07,8.68,265388.28,0.24,2.72,8.596,8.439,7.993,191019.29,212257.1,212809.14
2015-11-20,8.46,8.93,8.83,8.46,211181.55,0.31,3.64,8.468,8.312,7.914,168531.53,208659.85,219545.68
2015-11-19,8.29,8.56,8.52,8.26,153234.0,0.29,3.52,8.364,8.21,7.836,173050.5,207963.04,222465.11
2015-11-18,8.37,8.51,8.23,8.2,131772.39,-0.1,-1.2,8.348,8.119,7.765,190855.33,217588.82,229121.23
2015-11-17,8.44,8.63,8.33,8.29,193520.23,-0.1,-1.19,8.342,8.066,7.694,212195.18,229711.66,243669.22
2015-11-16,8.2,8.46,8.43,8.09,152949.48,0.12,1.44,8.282,7.974,7.655,233494.91,224925.29,258450.08
2015-11-13,8.35,8.86,8.31,8.26,233776.38,-0.13,-1.54,8.156,7.859,7.599,248788.18,224109.35,271362.56
2015-11-12,8.19,8.6,8.44,8.11,242258.19,0.24,2.93,8.056,7.769,7.543,242875.59,216686.67,277883.2
2015-11-11,7.97,8.34,8.2,7.94,238471.64,0.17,2.12,7.89,7.683,7.483,244322.31,216259.12,284754.09
2015-11-10,7.8,8.55,8.03,7.77,300018.84,0.23,2.95,7.79,7.604,7.423,247228.14,217896.29,288754.84
2015-11-09,7.78,7.86,7.8,7.55,229415.84,-0.01,-0.13,7.666,7.546,7.377,216355.67,213361.19,294947.95
2015-11-06,7.62,7.9,7.81,7.6,204213.44,0.2,2.63,7.562,7.516,7.338,199430.53,230431.51,310659.96
2015-11-05,7.67,7.75,7.61,7.5,249491.78,-0.09,-1.17,7.482,7.461,7.283,190497.76,236967.19,321682.29
2015-11-04,7.41,7.7,7.7,7.4,253000.78,0.29,3.91,7.476,7.41,7.248,188195.94,240653.64,350407.69
2015-11-03,7.28,7.44,7.41,7.21,145656.52,0.13,1.79,7.418,7.322,7.204,188564.44,257626.78,338353.31
2015-11-02,7.2,7.48,7.28,7.2,144790.12,-0.13,-1.75,7.426,7.336,7.171,210366.7,291974.86,378963.89
2015-10-30,7.51,7.58,7.41,7.33,159549.59,-0.17,-2.24,7.47,7.338,7.174,261432.49,318615.76,372123.79
2015-10-29,7.45,7.69,7.58,7.34,237982.69,0.17,2.29,7.44,7.316,7.211,283436.61,339079.73,364321.21
2015-10-28,7.38,7.63,7.41,7.3,254843.3,-0.04,-0.54,7.344,7.283,7.286,293111.33,353249.05,352944.02
2015-10-27,7.35,7.53,7.45,7.1,254667.8,-0.05,-0.67,7.226,7.242,7.419,326689.11,359613.39,340398.06
2015-10-26,7.4,7.6,7.5,7.29,400119.06,0.24,3.31,7.246,7.207,7.607,373583.03,376534.71,349431.11
2015-10-23,7.13,7.31,7.26,7.08,269570.22,0.16,2.25,7.206,7.16,7.765,375799.03,390888.41,355659.16
2015-10-22,6.85,7.13,7.1,6.8,286356.28,0.28,4.11,7.192,7.105,7.894,394722.85,406397.4,349461.01
2015-10-21,7.44,7.51,6.82,6.81,422732.19,-0.73,-9.67,7.222,7.085,8.049,413386.77,460161.75,345007.96
2015-10-20,7.3,7.67,7.55,7.23,489137.38,0.25,3.42,7.258,7.085,8.21,392537.66,419079.85,334354.08
2015-10-19,7.18,7.38,7.3,7.05,411199.06,0.11,1.53,7.168,7.005,8.33,379486.39,465952.92,317323.55
2015-10-16,7.26,7.3,7.19,7.04,364189.34,-0.06,-0.83,7.114,7.009,8.454,405977.79,425631.81,307237.53
2015-10-15,7.0,7.3,7.25,6.99,379675.88,0.25,3.57,7.018,7.106,8.603,418071.94,389562.68,299705.2
2015-10-14,7.1,7.1,7.0,6.9,318486.66,-0.1,-1.41,6.948,7.288,8.767,506936.73,352638.99,290045.03
2015-10-13,6.93,7.15,7.1,6.9,423881.0,0.07,1.0,6.912,7.596,8.935,445622.04,321182.73,283733.06
2015-10-12,6.71,7.1,7.03,6.68,543656.06,0.32,4.77,6.842,8.006,9.086,552419.45,322327.5,270455.86
2015-10-09,6.7,6.82,6.71,6.62,424660.12,-0.19,-2.75,6.904,8.369,9.244,445285.84,320429.9,251201.8
2015-10-08,6.62,7.22,6.9,6.49,823999.81,0.15,2.22,7.194,8.683,9.407,361053.41,292524.61,239709.63
2015-10-07,6.77,6.99,6.82,6.76,11913.2,0.07,1.04,7.628,9.013,9.563,198341.25,229854.17,213463.58
2015-09-30,6.61,6.96,6.75,6.61,957868.06,-0.59,-8.04,8.28,9.335,9.742,196743.41,249628.32,229914.68
2015-09-29,7.34,7.34,7.34,7.34,7988.0,-0.82,-10.05,9.17,9.655,9.878,92235.56,168694.19,191819.02
2015-09-28,8.16,8.16,8.16,8.16,3498.0,-0.91,-10.03,9.834,9.899,9.978,195573.97,188843.26,198478.72
2015-09-25,9.07,9.07,9.07,9.07,10439.0,-1.01,-10.02,10.172,10.1,10.034,223995.81,209847.71,209168.05
2015-09-24,10.08,10.08,10.08,10.08,3924.0,-1.12,-10.0,10.398,10.246,10.057,261367.08,227451.07,221017.81
2015-04-17,10.72,11.56,11.2,10.49,435328.78,0.54,5.07,10.39,10.274,10.03,302513.22,246283.4,233865.9
2015-04-16,9.96,10.84,10.66,9.68,524680.06,0.81,8.22,10.14,10.165,9.929,245152.82,218584.23,226059.89
2015-04-15,10.28,10.36,9.85,9.65,145607.22,-0.35,-3.43,9.964,10.118,9.865,182112.54,181973.7,211174.18
2015-04-14,10.05,10.28,10.2,9.97,197295.34,0.16,1.59,10.028,10.131,9.848,195699.62,186894.65,209764.6
2015-04-13,9.98,10.16,10.04,9.93,209654.7,0.09,0.91,10.094,10.113,9.823,193535.06,197072.99,204988.76
2015-04-10,9.78,10.04,9.95,9.6,148526.77,0.17,1.74,10.158,10.149,9.8,190053.57,210201.05,200080.15
2015-04-09,10.18,10.22,9.78,9.43,209478.69,-0.39,-3.83,10.19,10.101,9.787,192015.63,214943.85,200771.65
2015-04-08,10.57,10.64,10.17,10.03,213542.58,-0.36,-3.42,10.272,10.056,9.767,181834.85,208114.18,195183.74
2015-04-07,10.48,10.68,10.53,10.28,186472.56,0.17,1.64,10.234,9.968,9.732,178089.69,208488.38,191934.41
2015-04-03,10.11,10.58,10.36,9.92,192247.27,0.25,2.47,10.132,9.868,9.674,200610.91,214584.55,198480.54
