date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2015-11-27,14.8,14.85,13.88,13.53,56532.63,-0.88,-5.96,14.43,14.665,14.2,51716.19,61296.64,81591.26
2015-11-26,14.54,15.09,14.76,14.48,58445.65,0.23,1.58,14.614,14.752,14.127,53960.79,61987.24,91464.61
2015-11-25,14.64,14.66,14.54,14.32,43982.62,0.0,0.0,14.602,14.758,14.032,65038.54,64422.3,100216.11
2015-11-24,14.38,14.58,14.54,14.21,39456.3,0.11,0.76,14.688,14.819,13.89,66410.29,69098.11,109159.91
2015-11-23,14.76,14.76,14.43,14.27,60163.75,-0.35,-2.37,14.77,14.834,13.724,70962.64,74602.96,119025.49
2015-11-20,14.8,14.9,14.8,14.42,67755.65,0.08,0.54,14.9,14.818,13.534,70877.1,80319.87,122797.02
2015-11-19,15.14,15.3,14.7,14.21,113834.39,-0.26,-1.74,14.89,14.677,13.297,70013.68,82064.77,124274.74
2015-11-18,14.94,15.18,14.97,14.91,50841.36,0.03,0.2,14.914,14.497,13.044,63806.06,81471.37,122601.3
2015-11-17,15.29,15.5,14.95,14.81,62218.05,-0.14,-0.93,14.95,14.289,12.747,71785.92,86775.62,124258.79
2015-11-16,14.5,15.1,15.08,14.27,59736.03,0.37,2.52,14.898,14.031,12.501,78243.27,90515.17,125305.68
2015-11-13,14.64,15.3,14.75,14.52,63438.57,-0.06,-0.41,14.736,13.734,12.238,89762.65,101885.88,126929.26
2015-11-12,15.25,15.41,14.82,14.51,82796.28,-0.33,-2.18,14.464,13.502,11.993,94115.85,120941.99,128302.42
2015-11-11,14.59,15.25,15.15,14.59,90740.69,0.46,3.13,14.08,13.306,11.724,99136.68,136009.91,126532.49
2015-11-10,14.2,14.88,14.69,14.05,94504.8,0.44,3.09,13.628,12.96,11.42,101765.32,149221.7,124301.74
2015-11-09,13.39,14.68,14.27,13.16,117332.91,0.88,6.57,13.164,12.614,11.153,102787.06,163448.03,121910.11
2015-11-06,13.09,13.88,13.39,13.08,85204.59,0.51,3.96,12.732,12.25,10.901,114009.1,165274.16,119715.26
2015-11-05,13.08,13.35,12.9,12.81,107900.41,0.02,0.15,12.54,11.917,10.674,147768.13,166484.71,117837.62
2015-11-04,12.35,12.89,12.89,12.2,103883.87,0.5,4.04,12.532,11.591,10.461,172883.15,163731.23,114657.16
2015-11-03,12.2,12.76,12.37,12.0,99613.54,0.28,2.32,12.292,11.204,10.23,196678.09,161741.95,110366.85
2015-11-02,12.47,13.17,12.11,12.08,173443.11,-0.33,-2.65,12.064,10.97,10.025,224108.99,160096.19,106654.47
2015-10-30,12.67,13.49,12.43,12.28,253999.7,-0.43,-3.34,11.768,10.742,9.846,216539.22,151972.65,100127.18
2015-10-29,11.65,12.86,12.86,11.49,233475.52,1.17,10.01,11.294,10.483,9.639,185201.3,135662.84,89424.39
2015-10-28,11.2,12.1,11.69,11.08,222858.59,0.47,4.19,10.65,10.141,9.431,154579.31,117055.07,80168.89
2015-10-27,10.42,11.66,11.23,10.05,236768.03,0.61,5.74,10.116,9.879,9.274,126805.81,99381.78,71367.3
2015-10-26,10.2,10.69,10.63,9.91,135594.27,0.55,5.46,9.876,9.692,9.148,96083.39,80372.19,62627.46
2015-10-23,9.64,10.2,10.06,9.58,97310.08,0.39,4.03,9.716,9.551,9.05,87406.08,74156.35,58750.69
2015-10-22,9.03,9.71,9.64,9.01,80365.58,0.62,6.87,9.672,9.43,8.964,86124.39,69190.53,56579.68
2015-10-21,10.0,10.06,9.02,9.02,83991.1,-1.0,-9.98,9.632,9.331,8.892,79530.83,65583.08,56797.07
2015-10-20,9.8,10.14,10.03,9.71,83155.93,0.19,1.93,9.642,9.255,8.866,71957.75,58991.74,56029.73
2015-10-19,9.74,10.1,9.83,9.62,92207.72,0.0,0.0,9.508,9.079,8.747,64660.98,53212.76,55541.14
2015-10-16,9.47,9.86,9.84,9.0,90901.6,0.41,4.35,9.386,8.949,8.668,60906.62,48281.7,56582.16
2015-10-15,9.05,9.44,9.44,9.0,47397.82,0.37,4.08,9.188,8.795,8.635,52256.67,43185.93,56658.77
